Cluster,Top Topics (LDA)
1,"isolette thermostat ksu single sensor, isolette sensor single ksu thermostat"
2,"communication aps architecture apscommunication cloudcomponent, qa connectioninheritance top nameresolution se, isolette sensor dual ksu panel, sender authinaadl check resolute dataflow, cwe aaspe security array success, temperature agree aviationrequirementmodeling cooler heater"
3,"gca aps singleton flying pilot, tank aviate control level isolette"
4,"aps architecture communication isolette smartparking, temperature aviationrequirementmodeling agree smartparking aviation"
5,"cruisecontrol block refuel motor pump, aviationrequirementmodeling tcas singleton aviation single"
6,"dronesystem hybridsynchaadl master rendezvous thesis, hybridsynchaadl environment dronecontrol thesis rendezvous"
7,"ctrl plugin lab csci adventium, temperature agree aviationrequirementmodeling temp control, controller ucubesat package limited pid, arch model example exemplo top"
8,"r4 correct aaspe security ftatest, security aaspe incorrect r5 cwe"
9,"home smart arch client thermostat, ex air remoteserver control panel"
10,"security aaspe r1 arch generator, qa issue test receiver subcompo"
11,"fullspeed iplprojects task tasklibrary simple, view wempty tasklibrary task iplprojects"
12,"polyorb hi producer consumer scenario, scenario consumer producer ocarina hi"
13,"device test missing property translator, translator ball tispsys smartparkingsystem simplecapnograph"
14,"scenario type polyorb hi, hi polyorb type scenario"
15,"test subcompo qa issue cpptest, scenario hi polyorb flight management"
16,"cmpare model mece learning mecelearningsystem, toll collection integration model xdl"
17,"toll collection electronictollcollection rap ocarina, isolette model bless scenario ksu"
18,"qa imp aircraft functional bugplat, modelagemaadl resourcebudgets exemplo tier sc"
19,"model networking refmodel arch afdx, aaspe security singletier crazyflie hardware, resourcebudgets modelagemaadl sc tier dc"
20,"qa issue imp bus emv, security aaspe r0 r6 correct"
21,"dual dist ada polyorb hi, test qa refined impl package"
22,"aaspe security cwe integration r7, pilot flying drone using deformation"
23,"issue qa errormodelv fgs app, drone inspect network structural deformation"
24,"qa top basic connname flowspeclat, ocarina qa s2 issue test"
25,"rma scenario polyorb hi, hi polyorb scenario rma"
26,"layer software clientserver networking refmodel, aps architecture communication asc ism"
27,"native ada polyorb hi case, aps communication architecture navigationsystem rcc"
28,"ping scenario hi polyorb 11, 13 polyorb hi scenario ping"
29,"test issue qa ocarina spg, test designer demo spg ocarina"
30,"ocarina t9, t9 ocarina"
31,"mapa iplprojects map mapb, map iplprojects mapb mapa"
32,"polyorb hi scenario d3 duplicate, ocarina xml test output qa"
33,"scenario sunseeker polyorb hi, hi polyorb sunseeker scenario"
34,"isolette sensor ksu single dual, isolette dual ksu sensor single"
35,"rma test ocarina erc rmaaadl, hi polyorb rmaaadl rma lua, local polyorb hi type sunseekercontrolsystem"
36,"ping aaspe sel pong polyorb, ocarina hello test qa root"
37,"faceaadl integration model integrationmodel selectedintegrationmodel, model integration faceaadl merged im"
38,"qa arch issue smarthome thermostat, test fault complete tree osate"
39,"quadrirotorv device foo bar model, paparazzo emaxxv device task interruption"
40,"errormodelv dhsystem device redundant se, integration car driving self radar"
41,"model bless example iomtwin imp, aps fm uav coffeemachine network"
42,"flowlatencysampleddata application topsystem allperiodicsampled alldatadriven, pulseox forwarding imp translator model"
43,"ipca example isolette sensor operation, vehicle isolette interface il ocarina"
44,"adiru example ocarina security car, dca resourcebudgets tier modelagemaadl tempcontrolsoftwaresystem"
