Cluster,Top 10 Words (LDA)
1,"isolette thermostat ksu single sensor, isolette sensor single ksu thermostat"
2,"communication aps architecture apscommunication cloudcomponent rise stakeholder ship communicationhubserver sysml, qa connectioninheritance top nameresolution se src heater iext imp sysinverseofpfg, isolette sensor dual ksu panel control 11 10 agree aviationrequirementmodeling, sender authinaadl check resolute dataflow int failure security aaspe cwe, cwe aaspe security array success heater ti control panel flowspeclat, temperature agree aviationrequirementmodeling cooler heater control panel ti connname flowspeclat"
3,"gca aps singleton flying pilot aviationrequirementmodeling sysml communication architecture aviation, tank aviate control level isolette pressurized aviationrequirementmodeling aviatecontrollevel interface ksu"
4,"aps architecture communication isolette smartparking qa ksu backup speedwrisic single, temperature aviationrequirementmodeling agree smartparking aviation sensor singleton automodelcheckergeneration geofence i1"
5,"cruisecontrol block refuel motor pump ksu isolette sensor thermostat tank, aviationrequirementmodeling tcas singleton aviation single geofence tpaadl ev lgs controller"
6,"dronesystem hybridsynchaadl master rendezvous thesis refdrone fourdronessystem formation dronecontrol environment, hybridsynchaadl environment dronecontrol thesis rendezvous master drone imp management dm"
7,"ctrl plugin lab csci adventium gumbo pressure radiation sensor sensorsys, temperature agree aviationrequirementmodeling temp control voter integration notional dependable emtest, controller ucubesat package limited pid rate rta learning mece mecelearningsystem, arch model example exemplo top modelagemaadl bus adiru gnc deliverydrone"
8,"r4 correct aaspe security ftatest errormodelv model peterexample cwe incorrect, security aaspe incorrect r5 cwe requirement timing correct r4 peterexample"
9,"home smart arch client thermostat maincontrolrouter model smarthome controller phonestation, ex air remoteserver control panel ipca example power pacemaker wrapper"
10,"security aaspe r1 arch generator thermostat correct aadlmodel smartthermostat architecture, qa issue test receiver subcompo part digital tpaadl lgs impl"
11,"fullspeed iplprojects task tasklibrary simple view map mapa library mapb, view wempty tasklibrary task iplprojects fullspeed map rot char mapb"
12,"polyorb hi producer consumer scenario ocarina, scenario consumer producer ocarina hi polyorb"
13,"device test missing property translator abstract port crazyflie responder data, translator ball tispsys smartparkingsystem simplecapnograph noninpulseox simplepca using deformation drone"
14,"scenario type polyorb hi, hi polyorb type scenario"
15,"test subcompo qa issue cpptest ptest polyorb hi scenario management, scenario hi polyorb flight management ptest rtems cpptest test issue"
16,"cmpare model mece learning mecelearningsystem bless package positioncontrolsystem positioncontrol app, toll collection integration model xdl imp tool open electronictollcollection fpga"
17,"toll collection electronictollcollection rap ocarina aps communication center dhsystem client, isolette model bless scenario ksu sensor hi polyorb tank distributedallperiodicdelayed"
18,"qa imp aircraft functional bugplat issue model sysplat syscomp bugplatsys, modelagemaadl resourcebudgets exemplo tier sc dc mysystem singletier example arch"
